BOUT_NR;BOUT_BUURT;BOUT_XCOORD;BOUT_YCOORD;BOUT_HOOGTENAP;BOUT_ZAKKINGCUM;BOUT_DATUM;BOUT_BLOKZIJDE;BOUT_EIGENAAR;BOUT_BEVEILIGD;BOUT_DEELRAAD;BOUT_ADRES;BOUT_LOCATIE;BOUT_ZAKSNELH;BOUT_STATUS;BOUT_BLOKNR;BOUT_BLOKEENH;MSLINK;MAPID
"25981018";;120303;488491;2,6558;41,2000000000003;"19880301";4;;;"E";"De Wittenkade 97";;1,57251908396948;"A";"AB47 ";5;3493;20
"25981021";;120360;488389;1,9938;54,9999999999999;"19880301";1;;;"E";"2e Nassaustraat 5";;1,87301735398395;"A";"AB49 ";1;3496;20
"25981022";;120364;488385;2,2228;13,1000000000001;"19880301";1;;;"E";"2e Nassaustraat 3";;2,39914701455095;"V";"AB49 ";1;3497;20
"25981024";;120376;488374;2,6938;25,5999999999998;"19880301";1;;;"E";"2e Nassaustraat 1";;0,993831099766001;"A";"AB49 ";1;3498;20
"25981025";;120383;488365;2,8058;41,1999999999999;"19880301";3;;;"E";"2e Nassaustraat 1";"Hoek Jacob Catskade 2";1,59944692618591;"A";"AB49 ";4;3499;20
"25981027";;120216;488472;1,7379;9,50000000000006;"19880301";1;;;"E";"De Wittenkade 100";;1,73983943803313;"A";"AB32 ";1;3501;20
"25981029";;120209;488465;1,6369;15,5000000000001;"19880301";1;;;"E";"De Wittenkade 104";;1,91974889718359;"A";"AB32 ";1;3503;20
"25981030";;120206;488461;1,5799;6,50000000000017;"19880301";1;;;"E";"De Wittenkade 106";;1,19041645760164;"A";"AB32 ";1;3504;20
"25981032";;120199;488454;1,5809;10,6999999999999;"19880301";1;;;"E";"De Wittenkade 110";;1,46712997746055;"A";"AB32 ";1;3506;20
"25981034";;120190;488445;1,5769;6,19999999999998;"19880301";1;;;"E";"De Wittenkade 114";;1,13547415955845;"A";"AB32 ";2;3508;20
"25981035";;120185;488441;1,4359;5,80000000000003;"19880301";1;;;"E";"De Wittenkade 114/116";;1,06221776216759;"A";"AB32 ";2;3509;20
"25981036";;120176;488432;1,4339;5,50000000000006;"19880301";1;;;"E";"De Wittenkade 118";;1,00727546412445;"A";"AB32 ";2;3510;20
"25981038";;120082;488484;1,5829;34,3;"19880301";4;;;"E";"Van Hogendorpstraat 123";;1,78594864479315;"A";"AB24 ";6;3512;20
"25981039";;120087;488485;1,6509;39,2000000000001;"19880301";4;;;"E";"Van Hogendorpstraat 121";;2,0410841654779;"A";"AB24 ";6;3513;20
"25981040";;120094;488487;1,4919;27,3000000000001;"19880301";4;;;"E";"Van Hogendorpstraat 121";"Hoek Fannius Scholtenstraat 68";1,42146932952925;"V";"AB24 ";6;3514;20
"25981041";;120099;488482;1,5299;24,6999999999999;"19880301";1;;;"E";"Fannius Scholtenstraat 68";;1,84290678659035;"V";"AB24 ";1;3515;20
"25981042";;120103;488479;1,5309;9,19999999999987;"19880301";1;;;"E";"Fannius Scholtenstraat 70";;1,99406175771969;"V";"AB24 ";1;3516;20
"25981043";;120111;488470;1,4489;7,30000000000008;"19880301";1;;;"E";"Fannius Scholtenstraat 76";;1,58224465558197;"V";"AB24 ";1;3517;20
"25981044";;120115;488466;1,4119;9,59999999999983;"19880301";1;;;"E";"Fannius Scholtenstraat 78";;1,31630353117954;"V";"AB24 ";1;3518;20
"25981045";;120118;488464;1,4149;6,70000000000015;"19880301";1;;;"E";"Van Boetzelaerstraat 2";"Hoek Fannius Scholtenstraat  ";1,45219714964374;"V";"AB24 ";1;3519;20
"25981047";;120111;488450;1,3739;-53,9000000000001;"19880301";3;;;"E";"Van Boetzelaerstraat 4/6";;-7,3904958677686;"V";"AB24 ";3;3521;20
"11681004";;124340;486290;1,699;17,9;"19870610";3;;;"M";"Javastraat 112/114";;1,15269936485533;"A";"AQ20 ";4;4161;18
"11681005";;124330;486315;0,9849;5,19999999999987;"19870610";3;;;"M";"Javastraat 117";;1,16085626911312;"V";"AQ18 ";3;4162;18
"11681006";;124353;486315;1,0229;22,7999999999999;"19870610";3;;;"M";"Javastraat 125/127";;1,11197220737573;"A";"AQ18 ";3;4163;18
"11681009";;124368;486359;2,1069;6,90000000000035;"19870610";1;;;"M";"Borneostraat 84/86";;1,54036697247714;"V";"AQ18 ";1;4165;18
"11681010";;124327;486362;2,0919;25,1999999999999;"19870610";4;;;"M";"Madurastraat 94/96";;0,997073170731703;"A";"AQ18 ";4;4166;18
"11681013";;124421;486889;2,8687;;"19921222";1;;;"M";"C. Van Eesterenlaan 500/638";;;"A";"CL33 ";1;4168;18
"11681014";;124421;486889;2,8703;;"19921222";1;;;"M";"C. Van Eesterenlaan 500/638";;;"A";"CL33 ";1;4169;18
"11681015";;124399;486865;2,89;;"19921222";4;;;"M";"Entrepothof 110/121";;;"A";"CL33 ";4;4170;18
"11681016";;124399;486865;2,8911;;"19921222";4;;;"M";"Entrepothof 110/121";;;"A";"CL33 ";4;4171;18
"11681017";;124379;486864;2,904;;"19921222";4;;;"M";"Entrepothof 110/121";;;"A";"CL33 ";4;4172;18
"11681018";;124379;486864;2,9053;;"19921222";4;;;"M";"Entrepothof 110/121";;;"A";"CL33 ";4;4173;18
"11681019";;124362;486877;2,7057;;"19921222";4;;;"M";"Entrepothof 110/121";;;"A";"CL33 ";4;4174;18
"11681020";;124347;486927;1,4055;;"19921222";1;;;"M";"Entrepotbrug 55/117";"In pilaar bij Entrepothaven  ";;"A";"CL83 ";1;4175;18
"11681022";;124341;486966;1,2832;;"19921222";1;;;"M";"Entrepotbrug 55/117";"In pilaar bij Entrepothaven";;"A";"CL83 ";1;4177;18
