,identificatie,adres,locatie,status_id,status_omschrijving,vervaldatum,merk_id,merk_omschrijving,xmuurvlak,ymuurvlak,windrichting,bouwblok_code,hoogte_tov_nap,datum,peilmerknummer,geometrie,publiceerbaar
124,11089013,Nicolaas Beetsstraat 62/76,,1,Actueel,,14,Inbusbout (cilinderschroef met binnenzeskant) in slaganker M6,-20.0,40.0,O,,0.9543,2000-01-03,,POINT (119446.6 486560.2),J
125,11089014,Baarsjesweg 224,ZO-hoek meest O-gevel (stadsdeelkantoor),1,Actueel,,17,Veelal gebruikt door 'de waal',69.0,5.0,ZO,,0.7978,2007-12-01,,POINT (118971.8 486264.7),J
126,11180007,Bilderdijkstraat 169,"hoek Kinkerstraat (winkel ""Blokker"")",1,Actueel,,0,Ronde bout met opschrift NAP,-10.0,56.0,W,,1.6507,1991-10-01,11180007,POINT (119932.7 486739.8),J
127,11189000,Da Costakade 200,(Badhuis 1e pilaster),1,Actueel,,14,Inbusbout (cilinderschroef met binnenzeskant) in slaganker M6,14.0,44.0,O,,1.5006,1994-08-03,,POINT (120030.0 486652.0),J
128,11189001,Bilderdijkkade 418,in de Kwakersstraat,3,Vervallen,2012-09-20,99,Onbekend,22.0,21.0,N,,2.1386,1999-06-01,,POINT (119724.7 486853.2),J
129,11189004,,Overtoom 20A/26E,1,Actueel,,14,Inbusbout (cilinderschroef met binnenzeskant) in slaganker M6,16.0,10.0,Z,,0.6938,1999-06-01,,POINT (120274.3 486302.0),J
130,11189005,,Eerste Helmersstraat 23A-E,1,Actueel,,14,Inbusbout (cilinderschroef met binnenzeskant) in slaganker M6,-21.0,24.0,N,,0.8153,1999-06-01,,POINT (120226.5 486337.7),J
131,11189006,Nassaukade 350A-E,in de Jacob van Lennepstraat ,3,Vervallen,2012-06-07,14,Inbusbout (cilinderschroef met binnenzeskant) in slaganker M6,4.0,22.0,Z,AD64,0.8584,1999-06-01,,POINT (120219.4 486720.0),J
132,11189007,,Jeltje de Bosch Kemperpad 83 t/m 117,1,Actueel,,14,Inbusbout (cilinderschroef met binnenzeskant) in slaganker M6,-5.0,28.0,W,,1.4302,1999-06-01,,POINT (119677.5 486252.3),J
133,11189008,,Tweede Helmersstraat 118/206,1,Actueel,,14,Inbusbout (cilinderschroef met binnenzeskant) in slaganker M6,-6.0,142.0,Z,,1.9629,1999-06-01,,POINT (120011.3 486321.8),J
