,meetboutidentificatie,adres,locatie,status_id,status_omschrijving,vervaldatum,merk_id,merk_omschrijving,xmuurvlak,ymuurvlak,windrichting,bouwblok_code,geometrie,publiceerbaar
2070,10581202,Warmoesstraat 42,(achtergevel ;y = tov waterspiegel),1,Actueel,,14,Inbusbout,18.0,69.0,NW,,POINT (121696.6 487657.2),N
2071,10581203,Warmoesstraat 44,(achtergevel ;y = tov waterspiegel),1,Actueel,,14,Inbusbout,8.0,145.0,NW,,POINT (121692.0 487652.3),N
2072,10581205,Oudebrugsteeg 16,(in zijgevel),1,Actueel,,14,Inbusbout,34.0,29.0,NW,,POINT (121652.6 487631.0),N
2073,10581206,Beursplein 9,(y = boven plint ;tachymeter),1,Actueel,,14,Inbusbout,-179.0,49.0,NW,,POINT (121502.0 487459.8),N
2074,11081246,Jan Hanzenstraat 121,,1,Actueel,,14,Inbusbout,-18.0,22.0,N,AD24,POINT (119340.1 486744.1),J
2075,11081247,Jan Hanzenstraat 133,,1,Actueel,,14,Inbusbout,6.0,67.0,N,AD24,POINT (119318.2 486735.7),J
2076,11081248,Jan Hanzenstraat 301,,1,Actueel,,14,Inbusbout,10.0,33.0,N,AD24,POINT (119295.0 486726.2),J
2077,11081249,Wenslauerstraat 314/316,,1,Actueel,,14,Inbusbout,0.0,23.0,Z,AD24,POINT (119288.4 486688.6),J
2078,11081250,Wenslauerstraat 64,,1,Actueel,,14,Inbusbout,5.0,19.0,Z,AD24,POINT (119331.4 486703.3),J
2079,11081251,Wenslauerstraat 48,,1,Actueel,,14,Inbusbout,7.0,25.0,Z,AD24,POINT (119361.6 486714.8),J
2080,11081252,Bellamydwarsstraat 14,in de Wenslauerstraat(y = boven natuursteen),1,Actueel,,14,Inbusbout,-17.0,3.0,Z,AD24,POINT (119394.0 486727.8),J
2081,11081253,Wenslauerstraat 87,,1,Actueel,,14,Inbusbout,-5.0,25.0,N,AD26,POINT (119255.9 486666.3),J
2082,11081254,Wenslauerstraat 73/75,,1,Actueel,,14,Inbusbout,0.0,26.0,N,AD26,POINT (119292.7 486681.1),J
2083,11081255,Wenslauerstraat 69,,1,Actueel,,14,Inbusbout,37.0,23.0,N,AD26,POINT (119318.8 486691.4),J
2084,11081256,Wenslauerstraat 53,,1,Actueel,,14,Inbusbout,-13.0,23.0,N,AD26,POINT (119350.4 486704.1),J
2085,11081257,Wenslauerstraat 37,,1,Actueel,,14,Inbusbout,4.0,19.0,N,AD26,POINT (119379.8 486715.7),J
2086,11081259,Bellamystraat 76,,1,Actueel,,14,Inbusbout,31.0,20.0,Z,AD26,POINT (119375.6 486662.8),J
2087,11081260,Bellamystraat 86,,1,Actueel,,14,Inbusbout,-14.0,10.0,Z,AD26,POINT (119353.0 486653.1),J
2088,11081261,Bellamystraat 102,,1,Actueel,,14,Inbusbout,5.0,30.0,Z,AD26,POINT (119317.2 486637.8),J
2089,11081262,Bellamystraat 52,,1,Actueel,,14,Inbusbout,-10.0,30.0,Z,AD27,POINT (119450.3 486694.1),J
2090,11081263,Bellamystraat 36,,1,Actueel,,14,Inbusbout,13.0,78.0,Z,AD27,POINT (119482.5 486707.3),J
2091,11081264,Bellamystraat 30,,1,Actueel,,14,Inbusbout,-24.0,40.0,Z,AD27,POINT (119500.8 486715.2),J
2092,11081266,Jan Hanzenstraat 13,,1,Actueel,,14,Inbusbout,14.0,80.0,N,AD28,POINT (119543.8 486822.5),J
2093,11081267,Jan Hanzenstraat 19 in de Ten Katestraat,,1,Actueel,,14,Inbusbout,7.0,8.0,W,AD28,POINT (119518.2 486810.9),J
2094,11081268,Ten Katestraat 11/13,,1,Actueel,,14,Inbusbout,0.0,105.0,W,AD28,POINT (119528.7 486787.2),J
2095,11081269,Schimmelstraat 5,,1,Actueel,,14,Inbusbout,10.0,25.0,N,AD23,POINT (119538.0 486897.0),J
2096,11081270,Douwes Dekkerstraat 31,,1,Actueel,,14,Inbusbout,83.0,23.0,W,AD23,POINT (119510.6 486857.8),J
2097,11081271,Jan Hanzenstraat 30,,1,Actueel,,14,Inbusbout,-17.0,30.0,Z,AD23,POINT (119527.4 486830.8),J
2098,11081272,Agatha Dekenstraat 6,in de Korte Blekersstraat,1,Actueel,,14,Inbusbout,-590.0,126.0,Z,AD07,POINT (119528.1 486982.8),J
2099,11081273,Korte Blekersstraat 6,,1,Actueel,,14,Inbusbout,-6.0,74.0,Z,AD07,POINT (119507.7 486975.8),J
2100,11081274,Korte Blekersstraat 18,,1,Actueel,,14,Inbusbout,-50.0,64.0,Z,AD07,POINT (119480.4 486965.5),J
2101,11081275,Tolbrugstraat 9,hoek Korte Blekersstraat,1,Actueel,,14,Inbusbout,0.0,50.0,Z,AD07,POINT (119455.0 486955.9),J
2102,11081276,Tolbrugstraat 1,hoek 2e Kostverlorenkade,3,Vervallen,2018-06-06,14,Inbusbout,0.0,74.0,W,AD07,POINT (119433.5 486984.0),J
2103,11081277,Agatha Dekenstraat 11,,1,Actueel,,14,Inbusbout,37.0,67.0,W,AD11,POINT (119545.4 486988.3),J
2104,11081278,Bellamystraat 55,(ijz.pin),1,Actueel,,14,Inbusbout,23.0,103.0,N,AD31,POINT (119430.9 486672.3),J
2105,11081279,Bellamystraat 47,,1,Actueel,,14,Inbusbout,-10.0,26.0,N,AD31,POINT (119449.9 486679.9),J
2106,11081280,Bellamystraat 37,,1,Actueel,,14,Inbusbout,-21.0,35.0,N,AD31,POINT (119473.9 486687.4),J
2107,11081281,Hasebroekstraat 10,,1,Actueel,,14,Inbusbout,6.0,64.0,Z,AD31,POINT (119535.9 486627.2),J
2108,11081282,Hasebroekstraat 24,,1,Actueel,,14,Inbusbout,-17.0,78.0,Z,AD31,POINT (119502.9 486614.6),J
2109,11081283,Hasebroekstraat 30/32,,1,Actueel,,14,Inbusbout,0.0,85.0,Z,AD31,POINT (119483.9 486607.1),J
2110,11081284,Hasebroekstraat 42,,1,Actueel,,14,Inbusbout,38.0,87.0,Z,AD31,POINT (119454.5 486596.1),J
2111,11081285,Hasebroekstraat 15,,1,Actueel,,14,Inbusbout,6.0,86.0,N,AD34,POINT (119540.1 486614.4),J
